1,Тварини та зоотовари
2,,Товари для домашніх тварин
3,,,Товари для птахів
6697,,,,,,Танжело
503760,,,,,Кісточкові фрукти
6567,,,,,,Абрикоси
6601,,,,,,Вишні
6646,,,,,,Манго
6674,,,,,,Сливи
6675,,,,,,Сливоабрикоси
505301,,,,,,Персики та нектарини
5796,,,,Сухі боби
5797,,,,Консервовані та приготовані боби
5798,,,,Консервовані та банковані овочі
5799,,,,Консервовані та банковані фрукти
7387,,,,Сушені овочі
431,,,"Зернові, рис та крупи"
4682,,,,Рис
4683,,,,Амарант
4684,,,,Гречка
4686,,,,Просо
4687,,,,Ячмінь
4688,,,,Пшениця
4689,,,,Злаки та гранола
4690,,,,"Вівсянка, крупа та гарячі каші"
6259,,,,Квіноа
7196,,,,Кускус
7374,,,,Жито
432,,,"М'ясо, морепродукти та яйця"
4627,,,,Яйця
543554,,,,,Білки яєць
543555,,,,,Рідке та заморожене яйце
543556,,,,,Готові яйця
543557,,,,,Цілі яйця
4628,,,,М'ясо
5804,,,,,Обідні страви та делікатеси
5805,,,,,Свіже та заморожене м'ясо
5811,,,,,М'ясні консерви
4629,,,,Морепродукти
5812,,,,,Свіжі та заморожені морепродукти
5813,,,,,Консервовані морепродукти
433,,,Горіхи та насіння
434,,,Паста та локшина
1876,,,Випічка
424,,,,Хліб та булочки
1573,,,,Бейгли
1895,,,,Мафіни
2194,,,,Торти та десертні батончики
2229,,,,Печиво
5054,,,,Пастила
5748,,,,Тортильї та врапи
5749,,,,Пироги та тарталети
5750,,,,Випічка та скони
5751,,,,Пончики
5790,,,,Ріжки для морозива
5904,,,,Асортимент випічки
6195,,,,Кекси
6196,,,,Кавові торти
6891,,,,Тако шарики та тостади
2423,,,Супи та бульйони
2660,,,Інгредієнти для приготування та випічки
2126,,,,Олії для приготування їжі
2140,,,,Оцет
2572,,,,Суміші для випічки
2775,,,,Борошно
2803,,,,Розпушувач для тіста
2905,,,,Дріжджі
4613,,,,Паста з бобу
5105,,,,Цукор для цукрової вати
5752,,,,Тісто
5753,,,,,Коржі для пирогів
5755,,,,,Тісто для хліба та випічки
5756,,,,,Тісто для печива та брауні
5765,,,,Рослинні жири та сало
5766,,,,Меласа
5767,,,,Зефірки
5768,,,,Безсмаковий желатин
5769,,,,Глазурь та мастичка
5770,,,,Кукурудзяний сироп
5771,,,,Кулінарний крохмаль
5773,,,,Панірувальні сухарі
5774,,,,Сода для випічки
5775,,,,Ароматизатори та екстракти для випічки
5776,,,,Шоколад для випічки
5777,,,,Вино для приготування їжі
5778,,,,Суміші для вафель та панкейків
5800,,,,Начинки для пирогів та випічки
6754,,,,Дрібка для випічки
6774,,,,Тісто та покривальні суміші
6775,,,,Їстівні декорації для випічки
6922,,,,Томатна паста
7127,,,,Харчові барвники
7354,,,,Стартові культури
7506,,,,Набори для декорування печива
8076,,,,Їжа
499707,,,,Кульки тапіоки
499986,,,,Сік лимона та лайма
500093,,,,Консервоване та сухе молоко
503734,,,,Цукор та підсолоджувачі
543549,,,,Замінники яєць
4608,,,Приправи та спеції
1529,,,,Трави та спеції
4610,,,,Глутамат натрію
4611,,,,Сіль
6199,,,,Перець
4748,,,Цукерки та шоколад
5740,,,Соуси та паста
1702,,,,Сальса
2188,,,,Варення та желе
3965,,,,Оріхові масла
5741,,,,Хумус
5742,,,,Гуакамоле
5785,,,,Сирний крем
6204,,,,Яблучне масло
6784,,,,Тапенад
6830,,,,Овочевий дип
6831,,,,Сирні соуси та паста
5788,,,Заморожені десерти та новинки
5789,,,,Льодяники
6873,,,,Новинки морозива
499991,,,,Морозиво та заморожений йогурт
5807,,,"Тофу, соєві та вегетаріанські продукти"
5808,,,,Сейтан
5809,,,,Тофу
5810,,,,Темпе
6839,,,,Альтернативи сиру
6843,,,,Замінники м'яса
5814,,,Готові продукти
499988,,,,Готові страви та перші страви
499989,,,,Готові закуски та гарніри
6219,,,Цукати та фрукти в шоколаді
435,,Тютюнові вироби
3151,,,Сигарети
3682,,,Сигари
3741,,,Розсипний тютюн
3916,,,Тютюн для жування
4091,,,Випарювачі та електронні сигарети
543634,,,,Випарювачі
543635,,,,Електронні цигарки
499963,,,Курительні трубки
436,Меблі
441,,Лавки
4241,,,Стільці для туалетного столика
6850,,,Лави для кухні та їдальні
6851,,,Шафи та передпокійні лавки для зберігання
442,,Візки та острівці (меблі)
453,,,Сервізні столики для кухні та їдальні
6374,,,Кухонні острови
443,,Стільці
438,,,Крісла-мішки
456,,,Крісла-шезлонги
1463,,,Стільці для столу та бару
2002,,,Гойдалки-крісла
2919,,,Електричні масажні крісла
3358,,,Складні стільці та табуретки
5886,,,Стільці для кухні та їдальні
